total_population,median_age,median_age_male,median_age_female,male_18_19,male_20,male_21,male_22_24,male_25_29,male_30_34,male_55_59,male_60_61,male_62_64,male_65_66,male_67_69,male_70_74,male_75_79,male_80_84,male_85_plus,female_18_19,female_20,female_21,female_22_24,female_25_29,race_total_pop,white_alone,black_alone,native_american_alone,asian_alone,pacific_islander_alone,other_race_alone,two_or_more_races,hispanic_total_base,hispanic_latino_total,mexican,puerto_rican,cuban,central_american,south_american,white_non_hispanic,black_non_hispanic,hispanic_any_race,median_household_income,aggregate_household_income,per_capita_income,gini_index,income_under_10k,income_10k_15k,income_15k_20k,income_20k_25k,income_25k_30k,income_30k_35k,income_35k_40k,income_40k_45k,income_45k_50k,income_50k_60k,income_60k_75k,income_75k_100k,income_100k_125k,income_125k_150k,income_150k_200k,income_over_200k,poverty_base_pop,population_below_poverty,female_below_poverty,male_below_poverty,households_with_snap,snap_base_households,education_base_pop,no_schooling,grade_8_or_less,some_high_school,high_school_diploma,ged_alternative,some_college_less_1yr,some_college_more_1yr,associates_degree,bachelors_degree,masters_degree,professional_degree,doctorate_degree,school_enrollment_base,enrolled_in_school,enrolled_college_grad,bachelors_plus_by_sex_base,employment_base_pop,in_labor_force,civilian_labor_force,employed_civilian,unemployed,armed_forces,not_in_labor_force,industry_base,agriculture_forestry_fishing,construction,manufacturing,wholesale_trade,retail_trade,transportation_warehousing,information,finance_insurance_real_estate,professional_scientific,educational_health_social,arts_entertainment_recreation,public_administration,private_wage_workers,government_workers,self_employed,total_housing_units,occupied_units,vacant_units,owner_occupied,renter_occupied,median_home_value,median_gross_rent,median_rent_as_pct_income,mortgage_30_35pct_income,mortgage_35_40pct_income,mortgage_40_50pct_income,mortgage_over_50pct_income,median_year_structure_built,owner_overcrowded,renter_overcrowded,health_insurance_base,male_19_25_no_insurance,male_26_34_no_insurance,male_35_44_no_insurance,male_45_54_no_insurance,male_55_64_no_insurance,female_19_25_no_insurance,female_26_34_no_insurance,female_35_44_no_insurance,female_45_54_no_insurance,female_55_64_no_insurance,disability_base,male_under_18_disability,female_under_18_disability,male_65_74_disability,female_65_74_disability,female_householder_no_spouse,male_householder_no_spouse,household_type_base,citizenship_base,born_in_us,born_in_us_territory,born_abroad_us_parent,naturalized_citizen,not_a_citizen,place_of_birth_base,born_in_us_state,foreign_born,language_base,speaks_english_only,speaks_spanish,speaks_other_indo_european,speaks_asian_pacific,english_proficiency_base,speaks_english_very_well,speaks_english_not_well,speaks_english_not_at_all,entered_2010_or_later,entered_2000_2009,veteran_base_18plus,veterans_total,nonveterans,male_veterans,female_veterans,gulf_war_2001_later,gulf_war_2001_later_also_gulf90,gulf_war_1990_2001,vietnam_war_veterans,korean_war_veterans,wwii_veterans,veterans_below_poverty,veteran_poverty_base,veterans_18_64_employed,veterans_18_64_unemployed,veterans_employment_base,internet_base,has_internet_subscription,has_broadband,no_internet_access,computer_base,has_computer,no_computer,commute_base,drives_alone,carpools,public_transport,works_from_home,walks_to_work,commute_time_base,commute_60_89min,commute_90min_plus,owner_no_vehicle,renter_no_vehicle,white_pct,black_pct,hispanic_pct,asian_pct,native_american_pct,white_non_hispanic_pct,minority_pct,youth_18_29_pct,senior_65plus_pct,poverty_rate_pct,unemployment_rate_pct,labor_force_participation_pct,snap_households_pct,high_inequality,lower_income_pct,middle_income_pct,upper_income_pct,college_grad_pct,postgrad_pct,high_school_or_less_pct,manufacturing_pct,government_workers_pct,self_employed_pct,work_from_home_pct,owner_occupied_pct,renter_occupied_pct,vacant_housing_pct,housing_cost_burdened_pct,uninsured_pct,disability_pct,veteran_pct,veteran_poverty_pct,female_veteran_pct,foreign_born_pct,non_citizen_pct,limited_english_pct,no_internet_pct,no_computer_pct,broadband_pct,working_class_index,college_town_index,military_community_index,diversity_index,economic_anxiety_index,margin_2004,margin_2006,margin_2008,margin_2010,margin_2012,margin_2014,margin_2016,margin_2018,margin_2020,margin_2022,margin_2024,pvi_score,avg_dem_pct,avg_rep_pct
735406,41.8,40.5,43.2,8283,4371,3406,11382,20995,21872,14975,9418,12622,19160,12600,7352,4758,376571,20764,7466,4075,4021,10789,21590,735406,545885,118179,4267,9334,296,13982,43463,735406,37529,19411,5077,1965,3932,78,536466,117176,37529,66291,25571247700,35976,0.4626,15515,13301,11154,12601,11839,11683,10919,10744,11584,20420,28417,39100,27096,18482,21870,21793,722982,102568,620414,3348,34254,286518,516585,5907,1864,11290,134068,29700,35945,75066,52104,83509,35755,7976,4437,711277,157894,22643,131677,588722,335805,330327,315951,14376,5478,252917,315951,6133,24408,37171,7668,40368,21610,2647,17809,30764,67222,26810,16965,163634,6402,9692,353259,286518,66741,213663,72855,222700,1014,28.3,6986,5446,4710,12966,1991,1847,1317,721079,824,3038,5752,8885,8154,548,2964,4234,6730,6387,721079,112,45,13047,11861,34536,11502,286518,735406,702399,2260,6192,12152,12403,735406,710851,24555,692901,658018,21543,963,96,692901,115366,3760,987,10080,1811,564900,56826,508074,50651,6175,9607,6410,8016,17879,33,33,674,56826,137837,2662,419818,286518,251901,250411,28356,286518,267798,18720,314274,260148,22988,464,2668,23606,290668,13205,7169,4964,7365,74.23,16.07,5.1,1.27,0.58,72.95,27.05,13.11,59.99,14.19,4.35,57.04,11.96,1,8.76,11.96,12.13,16.17,9.32,32.85,11.76,1.91,2.89,0.85,60.48,20.62,18.89,14.09,6.59,98.05,10.06,1.19,10.87,3.34,1.69,0.69,9.9,6.53,87.4,17.19,16.31,8.98,14.66,10.77,26.31,36.28,98.27,82.58,97.86,36.45,96.38,26.38,28.83,83.61,56.9,-14.41,35.39,64.61
710301,37.7,36.0,39.2,10204,6215,4771,14846,23561,23471,12988,9162,9743,13980,10362,4878,4333,373095,21905,11231,5991,5438,14145,23878,710301,293673,357783,2727,14513,196,10243,31166,710301,27554,13693,3610,1116,4813,8,287714,356482,27554,52839,21433441600,31447,0.4928,23384,16290,14673,15744,14015,13487,12008,13208,11948,22175,26679,32066,21927,15080,15981,14756,682905,138783,544122,4046,56391,283421,475643,6997,1972,11057,129977,23734,26954,72585,40361,75285,35749,8163,5587,686205,172760,37648,124784,567319,318886,314526,295300,19226,4360,248433,295300,3695,16728,40644,5029,35078,19127,3697,15343,28521,66684,27037,12991,145051,6585,8401,340192,283421,56771,170923,112498,161900,1006,32.0,5465,4319,4896,10713,1979,1502,2238,693408,1004,2549,7647,9464,7215,705,1952,6479,7405,6588,693408,278,75,10143,11565,54419,11524,283421,710301,676892,1178,5380,11587,15264,710301,683450,26851,666536,631339,17157,600,84,666536,111357,3824,262,13637,1348,544124,43295,500829,37330,5965,7676,4776,7369,10679,28,13,256,43295,166481,2442,420775,283421,241252,239574,34401,283421,262614,20807,293499,239031,23222,1158,3916,23119,270380,10531,6112,5672,14853,41.34,50.37,3.88,2.04,0.38,40.51,59.49,16.93,60.33,20.32,6.11,56.21,19.9,1,11.84,11.39,9.54,15.83,10.41,33.79,13.76,2.07,2.63,1.33,50.24,33.07,16.69,14.86,7.36,97.62,7.96,0.59,13.78,3.78,2.15,0.61,12.14,7.34,84.53,19.19,17.86,8.15,31.0,14.61,42.96,39.04,-0.62,2.18,27.29,34.78,8.24,22.96,30.54,39.93,-9.19,-14.41,35.39,64.61
726115,39.8,38.5,41.0,11012,6452,5851,14987,22955,22552,13779,8697,11440,16975,10955,6726,3798,371096,19143,11231,6679,5935,13194,22679,726115,521422,143947,2495,11078,354,13152,33667,726115,29322,15372,3191,1314,5141,151,515648,142288,29322,60293,22506119400,32283,0.4647,20360,15426,13065,13714,10636,12463,11981,11862,11487,20093,28912,36434,26403,18622,16981,15097,703798,118539,585259,3852,39721,283536,496784,7545,1900,11492,129333,30595,34190,73497,47023,70425,35020,6879,7305,703987,179623,46775,119629,590277,331476,329640,313563,16077,1836,258801,313563,3089,21759,52332,5966,35494,16861,3238,14858,25819,78192,25022,14555,162582,6676,10129,338198,283536,54662,206736,76800,188000,880,29.4,5778,3979,5072,9919,1987,1875,1279,714667,1047,2128,6653,7851,7489,428,1708,4953,6607,5729,714667,130,131,12338,12436,39021,13284,283536,726115,696153,844,5030,8518,15570,726115,702027,24088,686568,653960,19037,790,63,686568,108536,2929,949,11715,902,570289,40236,530053,36877,3359,6573,3964,6361,12249,19,0,392,40236,166559,2318,438968,283536,247236,246943,28537,283536,265085,18451,309066,255740,23088,1132,3914,21736,287330,14440,7389,5473,9086,71.81,19.82,4.04,1.53,0.34,71.01,28.99,16.66,59.04,16.84,4.88,56.16,14.01,1,10.08,11.77,10.62,14.18,9.9,33.71,16.69,2.01,3.06,1.27,61.13,22.71,16.16,11.97,6.24,98.42,7.06,0.97,8.35,3.32,2.14,0.56,10.06,6.51,87.09,19.81,17.04,7.4,15.6,11.47,22.45,20.99,8.19,18.94,28.17,32.4,34.0,27.5,35.0,46.08,97.93,-14.41,35.39,64.61
727005,40.5,39.1,41.9,9264,5355,4765,12787,21664,21578,13801,8328,12308,16902,11642,7313,4287,369368,20479,8597,4677,4664,13073,21434,727005,596934,48506,4096,4186,774,30754,41755,727005,61748,40660,2223,1413,14359,32,586358,48096,61748,61167,22690809800,32503,0.4598,17026,13619,12317,14640,13183,13016,10978,11955,10789,19958,26722,36933,27114,16496,19109,16095,714689,115132,599557,3433,36479,279950,497918,10334,3039,13755,135457,29228,36288,66773,51665,65365,28721,6466,5816,702807,165842,28691,106368,580355,332187,331756,317515,14241,431,248168,317515,5830,25613,57671,6125,37643,19837,3524,14176,22852,70566,23352,16744,172381,6621,9614,326882,279950,46932,209024,70926,180700,816,26.6,5165,2946,4157,9814,1985,2528,1854,719211,1064,2518,7046,8574,7909,601,2357,5231,6095,7348,719211,64,215,12227,12850,33532,12904,279950,727005,691991,780,3586,9523,21125,727005,696357,30648,684038,633953,43558,522,282,684038,108458,9507,3052,10949,1088,560669,35909,524760,33148,2761,5808,3070,5075,11159,0,0,259,35909,150333,1930,424284,279950,239948,239689,33075,279950,257871,22079,312122,257199,32365,400,2418,17316,294806,23118,7812,5398,7087,82.11,6.67,8.49,0.58,0.56,80.65,19.35,14.62,59.15,16.11,4.29,57.24,13.03,1,9.74,11.5,10.84,13.13,8.23,35.15,18.16,1.99,2.89,0.77,63.94,21.7,14.36,10.56,6.78,98.93,6.4,0.72,7.69,4.22,2.91,1.84,11.81,7.89,85.62,20.73,15.51,7.03,11.31,10.56,49.59,40.47,49.65,98.82,48.07,98.57,98.53,59.64,64.56,70.48,98.79,-14.41,35.39,64.61
745693,39.6,38.4,40.6,9268,5632,4324,14372,25233,25506,15431,8758,11048,14989,9664,6658,4515,376882,20663,9379,4981,4177,13486,23905,745693,518244,132762,5873,13524,657,20107,54526,745693,52445,29722,5837,1946,5524,249,508409,130500,52445,77752,31146970400,42792,0.4619,14144,9586,9253,10256,10772,11565,9778,10378,10855,20463,27313,37772,30203,23090,27923,34123,726759,81882,644877,2899,27393,297474,516245,7352,1682,9255,103935,24365,32879,71769,43439,112323,57962,7819,8095,721109,177814,38786,186199,600906,369795,368885,355892,12993,910,231111,355892,3802,24327,58327,6053,38961,15564,4629,14411,56003,67048,25942,15599,194431,8016,7674,325341,297474,27867,213369,84105,257700,1083,27.2,6653,4048,4642,9799,1991,1744,1574,735629,629,2234,5773,7522,7309,558,2258,5538,5522,5575,735629,27,97,10139,10715,33777,12984,297474,745693,696936,2201,9058,16289,21209,745693,708195,37498,703344,653435,31936,1022,32,703344,111768,5512,1775,16579,2208,580954,55506,525448,49081,6425,11753,8629,8365,12410,6,0,568,55506,165115,4853,456422,297474,266673,266400,22335,297474,282245,15229,350507,275487,25132,478,3343,42006,308501,9460,4628,4135,8018,69.5,17.8,7.03,1.81,0.79,68.18,31.82,15.39,58.12,11.27,3.52,61.54,9.21,1,7.24,11.47,15.47,21.76,14.31,26.28,16.39,2.17,2.08,0.95,65.58,25.85,8.57,11.78,5.83,98.65,9.55,1.02,11.58,5.03,2.84,1.04,7.51,5.12,89.55,16.61,20.27,9.66,17.63,8.66,-46.05,-98.25,-3.58,15.86,30.01,74.42,33.54,22.13,95.81,37.54,95.39,-14.41,35.39,64.61
721709,39.3,38.3,40.3,9458,3670,3700,13995,21009,22752,13730,8347,10450,14486,9804,6191,4096,371193,20418,8860,3489,4114,13849,22286,721709,524421,130813,2036,12437,402,15608,35992,721709,41875,25456,3170,1454,4326,185,513426,130088,41875,84306,32361684900,45663,0.4757,12103,7008,6922,8195,8988,9417,8154,9489,9166,17949,25063,38373,28800,21214,27778,36771,705080,69209,635871,2443,21757,275390,493599,4604,1016,6678,109236,20056,29405,67117,39454,117423,51308,12894,7675,697153,171840,28524,189300,575709,359144,356733,343153,13580,2411,216565,343153,3428,25638,32981,10360,36468,19713,5872,30724,36141,80446,26149,16798,179213,9228,10780,302417,275390,27027,210100,65290,275300,1304,28.7,6699,3985,4833,11503,1992,1720,1134,709312,551,2293,4708,6314,5681,753,2034,3940,5114,4927,709312,67,316,9418,9430,30990,11667,275390,721709,682638,1051,6615,13744,17661,721709,690304,31405,679517,634098,28660,594,79,679517,114383,6286,1420,13015,1742,552323,37149,515174,33100,4049,6172,4621,6054,9983,37,13,484,37149,151324,1913,431449,275390,254856,254590,16162,275390,265090,10300,340930,268750,24648,297,2735,41643,299287,13264,6368,3718,5247,72.66,18.13,5.8,1.72,0.28,71.14,28.86,14.47,59.05,9.82,3.81,62.38,7.9,1,5.99,11.28,15.87,23.79,14.56,27.13,9.61,2.57,3.0,0.8,69.47,21.59,8.94,12.86,5.12,98.28,6.73,1.3,10.9,4.35,2.45,1.13,5.87,3.74,92.45,13.78,21.0,7.46,15.96,8.39,98.8,98.32,97.79,98.05,42.52,52.48,49.07,38.41,97.13,83.73,40.75,-14.41,35.39,64.61
720539,36.6,35.0,38.1,14620,7345,6704,14250,25612,24160,12905,8295,11858,13811,8552,5352,4344,378631,19828,16503,7303,7327,16374,25516,720539,283681,379072,2063,9363,845,15525,29990,720539,33662,19725,2413,955,5199,154,276839,378281,33662,52380,21840966100,31695,0.4914,23139,18404,15423,16813,14482,14298,13607,12576,11464,21027,27672,32783,19822,15729,17485,16234,688139,146247,541892,4308,57042,290958,476932,7698,951,8192,132779,20306,29044,71601,42980,75932,34755,9580,7259,697761,187908,57232,127526,583940,336652,335920,315148,20772,732,247288,315148,4465,18749,38727,5212,37436,20722,3794,20449,27211,81188,27525,14617,155699,7700,8291,350976,290958,60018,178340,112618,169900,1028,32.6,4728,3164,4422,12142,1976,1608,2284,710399,764,2646,7152,8959,7783,706,2794,5683,6635,6143,710399,157,284,10937,13789,53660,13158,290958,720539,687306,731,3969,8366,20167,720539,692006,28533,680126,638415,25820,1022,99,680126,103953,5530,854,15150,1413,566626,34332,532294,30857,3475,6021,1506,5882,10503,58,144,335,34332,191634,2509,443910,290958,249526,249383,31770,290958,269904,21054,308681,239768,27548,2633,6589,27403,281278,12309,5337,7945,18629,39.37,52.61,4.67,1.3,0.29,38.42,61.58,19.65,59.75,21.25,6.18,57.65,19.6,1,12.25,11.31,9.61,15.92,10.82,33.71,12.29,2.29,2.46,2.13,50.81,32.09,17.1,13.71,6.93,98.59,6.06,0.98,10.12,3.96,2.8,0.94,10.92,7.24,85.71,18.7,19.07,7.22,32.17,14.51,-50.03,-99.04,-98.63,-44.93,-51.76,-98.37,-98.41,-97.8,-97.16,-28.78,-27.42,-14.41,35.39,64.61
735706,35.8,35.4,36.3,9774,5505,5936,17536,30154,30996,13706,8698,11654,14480,8447,4556,2957,349326,22902,7694,4450,3524,13556,24824,735706,438178,22071,99576,47423,11488,17080,99890,735706,53803,28530,6957,1963,3267,195,424584,21172,53803,92788,32189442100,46573,0.4326,10063,5761,7677,6883,6174,7184,7270,8152,8776,14630,25209,36803,30730,23143,32455,39623,717914,72786,645128,2795,27367,270533,490552,3875,1174,4825,115592,26000,35748,81817,44401,97368,41826,9782,6380,708466,171961,27465,155356,577431,383088,359445,338408,21037,23643,194343,338408,15998,24177,13959,5369,33637,30928,5141,13551,28802,83061,28111,15244,180386,13337,16092,328491,270533,57958,180833,89700,352900,1419,27.7,8499,5286,6549,10973,1986,5290,3782,704290,1923,5756,7272,10393,7306,2022,5224,4676,7082,5799,704290,86,220,10536,7987,27043,15511,270533,735706,662192,2843,13926,35092,21653,735706,678961,56745,689070,585162,22437,2076,372,689070,114757,2665,681,24657,5658,534884,57477,477407,49315,8162,14361,7769,8529,14542,5,8,872,57477,163595,5733,433190,270533,249136,248680,15672,270533,262588,7945,353321,229760,42064,3493,25614,34435,318886,9281,6871,10730,13715,59.56,3.0,7.31,6.45,13.53,57.71,42.29,16.71,54.73,10.14,5.85,66.34,10.12,0,4.97,10.42,17.12,19.85,11.82,29.65,4.12,3.48,4.2,7.25,55.05,27.31,17.64,17.31,8.16,95.73,10.75,1.52,14.2,7.71,2.94,0.49,5.79,2.94,91.92,12.03,19.61,11.42,23.56,10.64,48.71,16.56,5.17,38.45,35.33,10.0,14.3,6.58,9.14,0.31,1.0,-7.71,42.08,57.92
804578,43.7,42.4,44.9,6958,3497,4327,12839,29209,30921,17009,9895,14690,20901,15943,10077,8281,409582,18793,6330,3355,3790,14644,29301,804578,578669,29514,13714,36072,1647,37400,107562,804578,139538,110009,4897,2043,4942,522,552151,27964,139538,99999,55331719200,69449,0.5105,14634,7330,6217,8317,9832,9059,9885,10493,10471,20646,30598,43097,36865,27668,37873,78169,798582,69724,728858,3223,18348,361154,608071,6567,479,3409,78964,14007,35073,81664,45172,192369,83725,29347,13970,782744,148695,26015,319411,681885,445308,444983,427027,17956,325,236577,427027,2017,26032,25181,9610,45420,19046,9100,56051,74241,89463,39247,19057,225982,11291,7228,405478,361154,44324,235106,126048,642100,1780,29.9,9089,6853,6590,18726,1988,1822,4109,800352,1275,3377,4275,8761,6276,1247,3883,4840,5342,4514,800352,43,141,7928,7669,32225,15950,361154,804578,692119,1800,10438,54179,46042,804578,704357,100221,766552,632521,78310,3376,115,766552,82014,12066,1758,31986,3066,663486,38898,624588,35649,3249,5289,2160,4369,14166,5,73,505,38898,173349,2247,490958,361154,340940,340732,13744,361154,352821,8333,420934,265444,25857,3883,6349,110782,310152,6410,5424,4591,12269,71.92,3.67,17.34,4.48,1.7,68.63,31.37,14.2,60.1,8.73,4.04,65.31,5.08,1,5.76,11.73,22.44,31.64,20.89,16.37,5.9,2.54,1.62,1.51,57.98,31.09,10.93,17.55,5.47,99.47,5.86,1.3,8.35,12.46,5.72,1.8,3.81,2.31,94.35,9.0,23.78,6.41,19.78,8.8,22.32,8.3,-16.45,5.99,-3.65,-5.22,-7.29,-7.69,-3.22,0.88,3.82,-1.77,48.03,51.97
826257,42.3,40.9,43.9,11855,6154,5406,15999,25363,26151,17331,11756,16274,27287,19338,10313,6480,411815,20332,13304,5788,5613,13338,22633,826257,483311,20021,160262,10701,1595,47807,102560,826257,150609,124986,3569,1431,2788,229,451359,19289,150609,67729,28300851000,34854,0.4581,21938,11965,10417,11740,12577,12718,11644,12975,11533,23458,32625,44770,30247,21024,24660,23624,793545,131567,661978,6525,42047,317915,580237,6928,1596,9155,131186,26344,45303,109311,58017,92978,43376,8250,7590,803571,186947,43956,152194,678374,347943,347005,325124,21881,938,330431,325124,8195,28401,20902,4163,38554,16532,4965,17057,30262,81934,37810,13756,168860,9639,13026,391302,317915,73387,234978,82937,345300,1254,27.7,8040,5900,7037,16069,1994,5983,4071,809526,3204,8167,8100,10603,9353,2507,8814,5995,7569,6962,809526,98,110,15557,14454,37291,16821,317915,826257,771261,1025,6619,23361,23991,826257,778905,47352,786018,619054,69038,1535,121,786018,108242,7882,1316,12206,1571,656756,58306,598450,53106,5200,8707,2928,6127,23765,42,40,537,58306,175120,3131,464112,317915,272640,271559,35993,317915,297692,20223,319779,222416,34030,1695,11451,43977,275802,15723,9642,9575,8173,58.49,2.42,18.23,1.3,19.4,54.63,45.37,15.18,59.98,16.58,6.31,51.29,13.23,1,8.31,12.21,12.05,16.02,10.21,28.34,6.43,2.77,3.74,3.58,60.05,21.2,18.75,15.77,8.8,97.98,8.88,0.92,8.92,5.73,2.9,1.17,11.32,6.36,85.42,13.57,17.09,8.26,24.64,12.63,20.71,19.73,22.28,33.82,-0.84,0.07,13.92,-9.49,-10.23,7.74,8.97,-1.77,48.03,51.97
