year,state,state_abbr,state_fips,state_cen,state_ic,office,district_num,stage,runoff,special,candidate_name,party,writein,mode,candidate_votes,total_votes,unofficial,version,fusion_ticket,party_clean,district_id
2000,Alabama,AL,1,63,41,US HOUSE,1,GEN,False,False,Dick Coffee,LIBERTARIAN,False,TOTAL,14031,165669,False,20250910,False,O,AL-01
2000,Alabama,AL,1,63,41,US HOUSE,1,GEN,False,False,Sonny Callahan,REPUBLICAN,False,TOTAL,151188,165669,False,20250910,False,R,AL-01
2000,Alabama,AL,1,63,41,US HOUSE,1,GEN,False,False,Writein,,True,TOTAL,450,165669,False,20250910,False,O,AL-01
2000,Alabama,AL,1,63,41,US HOUSE,2,GEN,False,False,Charles Woods,DEMOCRAT,False,TOTAL,64958,222636,False,20250910,False,D,AL-02
2000,Alabama,AL,1,63,41,US HOUSE,2,GEN,False,False,Terry Everett,REPUBLICAN,False,TOTAL,151830,222636,False,20250910,False,R,AL-02
2000,Alabama,AL,1,63,41,US HOUSE,2,GEN,False,False,Wallace B Mcgahan,LIBERTARIAN,False,TOTAL,4111,222636,False,20250910,False,O,AL-02
2000,Alabama,AL,1,63,41,US HOUSE,2,GEN,False,False,Writein,,True,TOTAL,1737,222636,False,20250910,False,O,AL-02
2000,Alabama,AL,1,63,41,US HOUSE,3,GEN,False,False,Bob Riley,REPUBLICAN,False,TOTAL,147317,169519,False,20250910,False,R,AL-03
2000,Alabama,AL,1,63,41,US HOUSE,3,GEN,False,False,John Sophocleus,LIBERTARIAN,False,TOTAL,21119,169519,False,20250910,False,O,AL-03
2000,Alabama,AL,1,63,41,US HOUSE,3,GEN,False,False,Writein,,True,TOTAL,1083,169519,False,20250910,False,O,AL-03
2000,Alabama,AL,1,63,41,US HOUSE,4,GEN,False,False,Craig Goodrich,LIBERTARIAN,False,TOTAL,3519,231106,False,20250910,False,O,AL-04
2000,Alabama,AL,1,63,41,US HOUSE,4,GEN,False,False,Marsha Folsom,DEMOCRAT,False,TOTAL,86400,231106,False,20250910,False,D,AL-04
2000,Alabama,AL,1,63,41,US HOUSE,4,GEN,False,False,Robert B Aderholt,REPUBLICAN,False,TOTAL,140009,231106,False,20250910,False,R,AL-04
2000,Alabama,AL,1,63,41,US HOUSE,4,GEN,False,False,Writein,,True,TOTAL,1178,231106,False,20250910,False,O,AL-04
2000,Alabama,AL,1,63,41,US HOUSE,5,GEN,False,False,Alan Barksdale,LIBERTARIAN,False,TOTAL,22110,209514,False,20250910,False,O,AL-05
2000,Alabama,AL,1,63,41,US HOUSE,5,GEN,False,False,"Robert E \""Bud\"" Cramer Jr",DEMOCRAT,False,TOTAL,186059,209514,False,20250910,False,D,AL-05
2000,Alabama,AL,1,63,41,US HOUSE,5,GEN,False,False,Writein,,True,TOTAL,1345,209514,False,20250910,False,O,AL-05
2000,Alabama,AL,1,63,41,US HOUSE,6,GEN,False,False,Spencer Bachus,REPUBLICAN,False,TOTAL,212751,241917,False,20250910,False,R,AL-06
2000,Alabama,AL,1,63,41,US HOUSE,6,GEN,False,False,Terry Reagin,LIBERTARIAN,False,TOTAL,28189,241917,False,20250910,False,O,AL-06
2000,Alabama,AL,1,63,41,US HOUSE,6,GEN,False,False,Writein,,True,TOTAL,977,241917,False,20250910,False,O,AL-06
2000,Alabama,AL,1,63,41,US HOUSE,7,GEN,False,False,Earl F Hilliard,DEMOCRAT,False,TOTAL,148243,198633,False,20250910,False,D,AL-07
2000,Alabama,AL,1,63,41,US HOUSE,7,GEN,False,False,Ed Martin,REPUBLICAN,False,TOTAL,46134,198633,False,20250910,False,R,AL-07
2000,Alabama,AL,1,63,41,US HOUSE,7,GEN,False,False,Ken Hager,LIBERTARIAN,False,TOTAL,3829,198633,False,20250910,False,O,AL-07
2000,Alabama,AL,1,63,41,US HOUSE,7,GEN,False,False,Writein,,True,TOTAL,427,198633,False,20250910,False,O,AL-07
2000,Alaska,AK,2,94,81,US HOUSE,0,GEN,False,False,Anna C Young,GREEN,False,TOTAL,22440,274393,False,20250910,False,O,AK-00
2000,Alaska,AK,2,94,81,US HOUSE,0,GEN,False,False,Clifford Mark Greene,DEMOCRAT,False,TOTAL,45372,274393,False,20250910,False,D,AK-00
2000,Alaska,AK,2,94,81,US HOUSE,0,GEN,False,False,Don Young,REPUBLICAN,False,TOTAL,190862,274393,False,20250910,False,R,AK-00
2000,Alaska,AK,2,94,81,US HOUSE,0,GEN,False,False,Jim Dore,INDEPENDENCE,False,TOTAL,10085,274393,False,20250910,False,O,AK-00
2000,Alaska,AK,2,94,81,US HOUSE,0,GEN,False,False,"Leonard J \""Len\"" Karpinski",LIBERTARIAN,False,TOTAL,4802,274393,False,20250910,False,O,AK-00
2000,Alaska,AK,2,94,81,US HOUSE,0,GEN,False,False,Writein,,True,TOTAL,832,274393,False,20250910,False,O,AK-00
2000,Arizona,AZ,4,86,61,US HOUSE,1,GEN,False,False,David Mendoza,DEMOCRAT,False,TOTAL,97455,229971,False,20250910,False,D,AZ-01
2000,Arizona,AZ,4,86,61,US HOUSE,1,GEN,False,False,Jeff Flake,REPUBLICAN,False,TOTAL,123289,229971,False,20250910,False,R,AZ-01
2000,Arizona,AZ,4,86,61,US HOUSE,1,GEN,False,False,Jon Burroughs,LIBERTARIAN,False,TOTAL,9227,229971,False,20250910,False,O,AZ-01
2000,Arizona,AZ,4,86,61,US HOUSE,2,GEN,False,False,Barbara Shelor,NATURAL LAW,False,TOTAL,2412,122605,False,20250910,False,O,AZ-02
2000,Arizona,AZ,4,86,61,US HOUSE,2,GEN,False,False,Bill Barenholtz,REPUBLICAN,False,TOTAL,32990,122605,False,20250910,False,R,AZ-02
2000,Arizona,AZ,4,86,61,US HOUSE,2,GEN,False,False,Ed Pastor,DEMOCRAT,False,TOTAL,84034,122605,False,20250910,False,D,AZ-02
2000,Arizona,AZ,4,86,61,US HOUSE,2,GEN,False,False,Geoffrey Weber,LIBERTARIAN,False,TOTAL,3169,122605,False,20250910,False,O,AZ-02
2000,Arizona,AZ,4,86,61,US HOUSE,3,GEN,False,False,Bob Stump,REPUBLICAN,False,TOTAL,198367,301970,False,20250910,False,R,AZ-03
2000,Arizona,AZ,4,86,61,US HOUSE,3,GEN,False,False,Edward R Carlson,LIBERTARIAN,False,TOTAL,8927,301970,False,20250910,False,O,AZ-03
2000,Arizona,AZ,4,86,61,US HOUSE,3,GEN,False,False,Gene Scharer,DEMOCRAT,False,TOTAL,94676,301970,False,20250910,False,D,AZ-03
2000,Arizona,AZ,4,86,61,US HOUSE,4,GEN,False,False,Ben Jankowski,DEMOCRAT,False,TOTAL,71803,219497,False,20250910,False,D,AZ-04
2000,Arizona,AZ,4,86,61,US HOUSE,4,GEN,False,False,Ernest Hancock,LIBERTARIAN,False,TOTAL,7298,219497,False,20250910,False,O,AZ-04
2000,Arizona,AZ,4,86,61,US HOUSE,4,GEN,False,False,John B Shadegg,REPUBLICAN,False,TOTAL,140396,219497,False,20250910,False,R,AZ-04
2000,Arizona,AZ,4,86,61,US HOUSE,5,GEN,False,False,Aage Nost,LIBERTARIAN,False,TOTAL,4049,287609,False,20250910,False,O,AZ-05
2000,Arizona,AZ,4,86,61,US HOUSE,5,GEN,False,False,George Cunningham,DEMOCRAT,False,TOTAL,101564,287609,False,20250910,False,D,AZ-05
2000,Arizona,AZ,4,86,61,US HOUSE,5,GEN,False,False,Jim Kolbe,REPUBLICAN,False,TOTAL,172986,287609,False,20250910,False,R,AZ-05
2000,Arizona,AZ,4,86,61,US HOUSE,5,GEN,False,False,Michael Jay Green,GREEN,False,TOTAL,9010,287609,False,20250910,False,O,AZ-05
