district_id,margin_2004,winner_2004,margin_2006,winner_2006,margin_2008,winner_2008,margin_2010,winner_2010,margin_2012,winner_2012,margin_2014,winner_2014,margin_2016,winner_2016,margin_2018,winner_2018,margin_2020,winner_2020,margin_2022,winner_2022,margin_2024,winner_2024
AL-01,26.31,R,36.28,R,98.27,R,82.58,R,97.86,R,36.45,R,96.38,R,26.38,R,28.83,R,83.61,R,56.9,R
AL-02,42.96,R,39.04,R,-0.62,D,2.18,R,27.29,R,34.78,R,8.24,R,22.96,R,30.54,R,39.93,R,-9.19,D
AL-03,22.45,R,20.99,R,8.19,R,18.94,R,28.17,R,32.4,R,34,R,27.5,R,35,R,46.08,R,97.93,R
AL-04,49.59,R,40.47,R,49.65,R,98.82,R,48.07,R,98.57,R,98.53,R,59.64,R,64.56,R,70.48,R,98.79,R
AL-05,-46.05,D,-98.25,D,-3.58,D,15.86,R,30.01,R,74.42,R,33.54,R,22.13,R,95.81,R,37.54,R,95.39,R
AL-06,98.8,R,98.32,R,97.79,R,98.05,R,42.52,R,52.48,R,49.07,R,38.41,R,97.13,R,83.73,R,40.75,R
AL-07,-50.03,D,-99.04,D,-98.63,D,-44.93,D,-51.76,D,-98.37,D,-98.41,D,-97.8,D,-97.16,D,-28.78,D,-27.42,D
AK-00,48.71,R,16.56,R,5.17,R,38.45,R,35.33,R,10,R,14.3,R,6.58,R,9.14,R,0.31,R,1,R
AZ-01,22.32,R,8.3,R,-16.45,D,5.99,R,-3.65,D,-5.22,D,-7.29,D,-7.69,D,-3.22,D,0.88,R,3.82,R
AZ-02,20.71,R,19.73,R,22.28,R,33.82,R,-0.84,D,0.07,R,13.92,R,-9.49,D,-10.23,D,7.74,R,8.97,R
AZ-03,80.1,R,21.04,R,12.01,R,11.1,R,-21.22,D,-11.49,D,-98.41,D,-27.74,D,-29.14,D,-53.96,D,-44.36,D
AZ-04,-44.46,D,-48.6,D,-50.86,D,-39.41,D,38.46,R,44.17,R,42.9,R,37.66,R,39.51,R,-12.21,D,-7.29,D
AZ-05,21.31,R,-3.97,D,-9.59,D,8.77,R,34.38,R,39.16,R,28.2,R,18.84,R,17.8,R,19.34,R,20.78,R
AZ-06,79.38,R,74.8,R,27.87,R,37.3,R,27.99,R,29.72,R,24.26,R,10.38,R,4.34,R,1.47,R,2.51,R
AR-01,-33.14,D,-38.52,D,-100,D,8.31,R,17.1,R,30.87,R,76.28,R,40.18,R,100,R,47.6,R,48.88,R
AR-02,-16.34,D,-21.06,D,-76.54,D,19.63,R,15.71,R,8.26,R,21.53,R,6.31,R,10.74,R,24.78,R,17.86,R
AR-03,21.23,R,24.46,R,78.53,R,44.88,R,75.9,R,79.41,R,77.32,R,32.11,R,32.5,R,30.8,R,32.03,R
AR-04,-100,D,-49.46,D,-86.17,D,-17.38,D,22.84,R,11.18,R,74.9,R,35.51,R,42.13,R,44.81,R,45.82,R
CA-01,-38.66,D,-37.25,D,-44.74,D,-31.76,D,14.76,R,22.06,R,18.1,R,9.78,R,13.98,R,24.14,R,30.68,R
CA-02,33.7,R,31.72,R,15.78,R,14.3,R,-42.48,D,-49.98,D,-53.7,D,-54.02,D,-51.48,D,-48.8,D,-43.76,D
CA-03,27.07,R,21.65,R,5.56,R,6.89,R,-8.46,D,-5.44,D,-18.7,D,-16.14,D,-9.34,D,7.3,R,10.94,R
CA-04,30.78,R,3.18,R,0.48,R,29.83,R,22.22,R,100,R,25.44,R,8.26,R,11.9,R,-35.6,D,-32.92,D
CA-05,-48.03,D,-47.28,D,-53.47,D,-46.77,D,-48.94,D,-75.73,D,-53.74,D,-78.87,D,-52.18,D,22.62,R,23.54,R
CA-06,-45.3,D,-44.11,D,-47.63,D,-36.32,D,-50.1,D,-45.38,D,-50.86,D,-100,D,-46.68,D,-11.9,D,-15.24,D
CA-07,-52.16,D,-83.99,D,-51.03,D,-36.64,D,-3.36,D,-0.8,D,-2.34,D,-10.08,D,-13.24,D,-36.52,D,-33.5,D
CA-08,-71.44,D,-69.67,D,-62.19,D,-64.98,D,100,R,35.3,R,24.52,R,100,R,12.12,R,-51.46,D,-47.94,D
